,plsnt,attnt,snst,aptit,polarity_intense
ทำหน้าที่แทน,0.0,0.128,-0.11,0.228,0.082
อุทยานแห่งชาติ,-0.03,0.224,-0.06,0.067,0.067
ประเพณีนิยม,0.64,-0.93,0.0,0.812,0.794
แท็ก,0.0,0.249,0.0,0.171,0.14
โคเคน,0.022,-0.13,0.153,-0.31,-0.104
ผู้แทนจำหน่าย,0.111,0.18,0.0,0.128,0.14
แฟ้บ,0.0,0.095,0.0,0.074,0.056
ทวารหนัก,0.0,0.0,0.0,-0.08,-0.027
ลำต้น,0.898,0.964,0.0,0.0,0.621
เหยื่อ,0.007,0.291,0.291,-0.297,-0.097
ปลอก,-0.95,0.0,0.564,-0.72,-0.745
แช่,-0.4,0.046,0.489,-0.238,-0.36
อัตคัด,-0.512,0.0,0.222,-0.306,-0.347
แสดงอารมณ์,0.448,0.0,0.0,0.464,0.304
นึกถึง,0.702,0.775,-0.12,0.161,0.506
คอยเหตุ,0.352,-0.075,-0.015,0.311,0.241
สวรรค์,0.02,0.315,0.0,0.294,0.21
ธรรมดา,-0.92,0.0,-0.83,0.0,-0.583
อึ,0.044,-0.025,0.005,-0.46,-0.132
ชุบชีวิต,0.655,-0.6,0.0,0.687,0.647
การโจรกรรม,0.024,0.152,-0.06,0.236,0.117
ปลุก,0.248,-0.133,-0.067,0.418,0.244
แสดงถึง,0.437,-0.201,-0.06,0.508,0.362
ยางไม้,0.077,0.388,-0.48,0.484,0.156
สื่อมวลชน,0.713,0.812,0.0,0.0,0.508
การเปิด,-0.7,0.0,-0.86,0.0,-0.52
ภมร,0.0,0.0,0.0,0.869,0.29
นักแสดงตลก,0.878,-0.8,0.0,0.0,0.559
คำราม,0.045,0.0,0.0,0.088,0.044
ตะกั่ว,0.524,-0.75,0.0,0.828,0.701
พลาสติก,0.0,0.416,-0.355,0.003,0.021
ตึกสูงระฟ้า,0.0,0.0,0.0,0.069,0.023
บันได,-0.277,0.314,0.314,0.043,-0.078
ปรุงอาหาร,0.462,-0.43,0.0,0.034,0.309
ไตรภาค,0.089,-0.01,0.033,0.082,0.049
บุคคล,0.921,0.884,0.0,0.0,0.602
แบล็คเบอร์รี่,0.807,0.954,0.0,0.0,0.587
ปลาโลมา,-0.333,0.051,0.353,-0.373,-0.336
อายุ,0.074,-0.06,0.0,0.0,0.045
อันตรภาค,0.04,0.07,0.0,0.0,0.037
โลกเสมือนจริง,0.026,0.14,-0.13,0.31,0.115
หมดสติ,-0.6,0.0,0.541,-0.52,-0.554
มาเฟียอิตาลี,-0.85,0.0,0.749,-0.99,-0.863
ลามก,-0.42,0.0,0.756,-0.843,-0.673
ยกเค้า,-0.75,0.0,0.94,0.0,-0.563
จำนวนบวก,0.942,-0.9,0.0,0.938,0.927
หงุดหงิด,-0.71,0.0,-0.732,-0.786,-0.743
บุรุษไปรษณีย์,0.031,0.0,0.0,0.093,0.041
ทุกวันนี้,0.935,-0.8,0.0,0.547,0.761
พัฒนาการ,0.01,0.132,-0.095,0.146,0.064
การชำระหนี้,0.922,0.972,0.0,0.0,0.631
นักบิน,0.492,0.04,0.0,0.385,0.306
เล่ม,0.025,0.115,0.06,0.183,0.088
อำ,-0.408,0.053,0.331,-0.315,-0.334
น่าวิตก,-0.52,0.0,0.71,-0.94,-0.723
การเตรียม,0.0,0.952,0.0,0.0,0.317
การชักตัวอย่าง,0.956,-0.83,0.0,0.755,0.847
ชาวผิวขาว,-0.55,0.0,0.561,-0.51,-0.54
บ้านพักอาศัย,0.181,0.329,-0.012,0.191,0.23
ทางราชการ,0.046,0.137,0.009,0.141,0.105
รถถัง,0.748,0.934,0.0,0.0,0.561
ถุงเท้าสั้น,-0.86,0.0,0.831,-0.79,-0.827
บัลเลต์,0.12,-0.06,0.0,0.0,0.06
ใช้งาน,-0.765,0.0,0.292,-0.705,-0.587
ช่างต่อเรือ,0.0,0.233,-0.07,0.113,0.092
ประจำวัน,0.414,0.487,-0.08,0.138,0.32
ปู่ทวด,0.948,0.829,0.0,0.0,0.592
ปัจจัย,0.822,0.876,0.0,0.0,0.566
หดหาย,-0.505,0.07,0.119,-0.345,-0.3
ชนกลุ่มน้อย,-0.94,0.0,0.716,0.0,-0.552
หมดเลย,0.392,0.266,0.0,0.024,0.227
อายุขัย,0.074,-0.06,0.0,0.0,0.045
แต่งงาน,0.916,0.9,0.0,0.933,0.916
ถั่วลิสง,-0.94,0.0,0.891,-0.93,-0.92
สิ่งไร้ค่า,-0.77,0.0,0.9,-0.79,-0.82
การกระจายอำนาจ,0.774,-0.91,0.0,0.95,0.878
ฟุตบอลอาชีพ,0.728,0.83,0.0,0.0,0.519
ขอบ,0.048,0.095,0.056,0.089,0.059
เร้า,0.88,0.967,0.0,0.0,0.616
การเผชิญหน้า,-0.2,-0.03,0.0,-0.23,-0.133
ช่างนาฬิกา,0.0,0.115,0.0,0.105,0.073
ปากจัด,-0.482,0.0,0.7,-0.422,-0.535
อุทิศ,0.322,0.152,-0.105,0.573,0.314
ทรัพย์มรดก,0.0,0.179,-0.05,0.162,0.097
ปทานุกรม,0.0,0.0,-0.08,0.0,-0.027
ความยาก,-0.4,-0.06,-0.23,0.063,-0.169
การทำลายป่า,0.0,-0.02,0.085,-0.09,-0.052
หลังค่อม,-0.94,0.0,0.87,-0.9,-0.903
รุนแรง,0.129,-0.192,-0.546,-0.5,-0.242
กลางคืน,-0.7,0.0,-0.74,0.0,-0.48
เท่ากับ,0.45,-0.18,0.022,0.576,0.395
โอรส,0.0,0.073,0.015,0.101,0.053
พัสดุภัณฑ์,-0.53,0.0,0.771,-0.69,-0.664
โค้ง,0.254,0.255,0.029,0.11,0.197
น่อง,0.032,0.109,-0.07,0.085,0.052
เผาศพ,0.0,0.0,0.0,-0.78,-0.26
อาวุธปืน,0.0,0.0,0.729,-0.84,-0.523
น้ำปัสสาวะ,-0.05,0.0,0.0,-0.11,-0.053
อัตตาธิปไตย,-0.83,0.0,0.858,-0.79,-0.826
ไม่รวม,-0.21,-0.08,0.018,-0.16,-0.103
ตัดไพ่,-0.03,-0.025,0.018,0.01,-0.004
แผนผัง,0.153,0.327,-0.028,0.103,0.185
มลพิษ,-0.38,0.0,-0.375,-0.04,-0.265
ประเทศออสเตรเลีย,0.0,0.766,0.0,0.0,0.255
ปรับทุกข์,0.76,-0.365,0.0,0.384,0.503
ประจำปี,-0.425,0.0,0.292,-0.045,-0.254
หนึ่งล้าน,0.0,0.243,0.0,0.122,0.122
พาย,0.514,0.349,0.0,0.0,0.288
ทองแดง,0.87,0.822,0.0,0.717,0.803
แตงโม,-0.98,0.0,-0.81,0.0,-0.597
นักการเมือง,0.0,0.868,0.0,0.853,0.574
สมอ,0.719,0.0,0.0,0.783,0.501
ประชาชน,0.0,0.0,0.695,-0.82,-0.505
ความดี,0.922,0.776,0.0,0.0,0.566
ล้าน,-0.21,0.081,0.197,-0.243,-0.19
พิธีมงคลสมรส,0.812,0.982,0.0,0.777,0.857
โดยอัตโนมัติ,0.0,0.79,0.0,0.849,0.546
การแบ่ง,-0.57,0.04,-0.52,-0.295,-0.448
เพลา,0.041,-0.08,0.0,0.056,0.059
นรก,-0.08,0.068,-0.13,-0.11,-0.084
เครื่องดินเผา,0.528,-0.6,0.0,0.724,0.617
ความไม่เต็มใจ,-0.82,0.0,0.948,-0.85,-0.873
ผู้ดูแลเว็บไซต์,-0.02,0.0,0.077,0.0,-0.032
เฒ่า,-0.37,0.0,-0.4,0.35,-0.14
เตรียมใจ,0.922,-0.78,0.0,0.866,0.856
เวียน,0.191,0.126,0.0,0.26,0.192
แคลเซียมไฮดรอกไซด์,0.071,0.0,-0.08,-0.09,-0.033
เศรษฐศาสตร์,0.0,0.219,0.0,0.208,0.142
คณะมนตรี,0.051,0.181,-0.1,0.13,0.087
ตามตัวอักษร,0.0,0.093,0.0,0.053,0.049
ในเร็วๆ,0.0,0.071,0.0,0.0,0.024
แปรญัตติ,0.881,-0.86,0.0,0.688,0.81
การทำหมัน,0.542,-0.63,0.0,0.912,0.695
หินน้ำลาย,0.946,0.774,0.0,0.0,0.573
ยอมรับเงื่อนไข,-0.75,0.0,-1.0,0.0,-0.583
สูติกรรม,0.02,-0.161,0.359,-0.31,-0.163
ทำหน้าที่,0.0,0.165,-0.08,0.179,0.088
การบินขึ้น,-0.91,0.0,-0.77,0.0,-0.56
หัวเราะก๊าก,0.024,0.0,0.434,0.0,-0.137
นักปีนเขา,0.259,-0.217,0.0,0.357,0.278
การตาย,-0.87,0.0,-0.96,0.0,-0.61
ชั้นวางของ,0.774,0.969,0.0,0.0,0.581
ต้นกล้วย,0.0,0.066,-0.05,0.089,0.035
เครื่องตกแต่ง,-0.74,0.0,0.722,-0.56,-0.674
โรงพัก,0.0,0.0,-0.05,-0.11,-0.053
เหล็กดัด,0.619,-0.77,0.0,0.834,0.741
เย้ยหยัน,-0.8,0.0,0.512,-0.82,-0.711
ของเหลว,0.044,0.044,0.0,0.074,0.054
ตกรางวัล,0.789,0.848,0.0,0.0,0.546
กัมมันตรังสี,-0.02,0.0,0.047,-0.11,-0.059
ปลดประจำการ,-0.845,0.0,0.327,-0.855,-0.676
พลเรือ,0.688,-0.9,0.0,0.877,0.822
ฮวบ,0.196,0.414,0.0,0.538,0.383
แคบ,-0.95,0.0,0.159,-0.94,-0.683
อัปมงคล,-0.353,0.0,0.042,-0.883,-0.426
อาจเอื้อม,0.24,0.332,0.232,-0.235,0.035
ถีบรถ,0.118,-0.06,0.075,0.086,0.063
ขายขนมจีบ,0.0,0.0,0.759,-0.78,-0.513
ลูบคม,-0.853,0.0,0.831,-0.727,-0.804
ผลงาน,0.042,0.065,0.172,0.13,0.022
สงครามเย็น,-0.95,0.0,0.84,-0.97,-0.92
เป่า,-0.05,0.0,-0.41,-0.445,-0.302
เขี้ยวหนุมาน,-0.02,0.0,0.045,-0.03,-0.032
ค้นหา,-0.035,-0.368,0.0,0.534,0.289
ตกลูก,0.431,0.082,-0.208,-0.171,0.045
กำมือ,-0.03,0.034,0.456,-0.485,-0.312
ค้นคว้า,0.408,0.604,-0.055,0.138,0.365
รับงาน,0.0,-0.94,0.0,0.744,0.561
ทั่วโลก,0.438,0.442,0.0,0.526,0.469
งดงาม,0.681,0.235,-0.018,0.536,0.478
ราชา,0.044,0.095,0.0,0.083,0.074
พิษ,-0.06,0.0,0.002,-0.253,-0.105
เฮลิคอปเตอร์,0.627,0.61,-0.24,0.234,0.41
จุดจบ,-0.05,0.192,-0.11,0.16,0.064
ชะลอ,-0.607,0.0,-0.153,-0.953,-0.571
โห่ร้อง,0.703,0.534,-0.21,0.243,0.423
พระราชินี,0.0,-0.95,0.0,0.839,0.596
กระดาษเช็ดมือ,-0.84,0.0,0.0,-0.9,-0.58
การล่าเหยื่อ,-0.76,0.0,-0.91,0.0,-0.557
เซกเตอร์,0.0,0.312,-0.1,0.207,0.14
ทีมงาน,0.494,-0.48,0.0,0.491,0.488
กระโจนใส่,-0.05,0.066,0.0,0.079,0.032
จุดอ่อน,-0.53,0.0,0.626,-0.86,-0.672
น่าจะ,-0.61,0.0,0.856,-0.82,-0.762
มีรสชาติ,0.732,0.771,0.0,0.0,0.501
ชั้นเยี่ยม,0.976,0.0,0.0,0.932,0.636
กบฏ,-0.8,0.0,0.815,-0.75,-0.788
พลังจิต,-0.383,0.08,0.285,-0.269,-0.286
ยกน้ำหนัก,-0.75,0.0,0.794,-0.58,-0.708
ทำให้เข้าใจผิด,-0.81,0.0,0.0,-0.74,-0.517
ความเสื่อมเสีย,-0.93,0.0,0.936,-0.88,-0.915
พูดกระซิบ,0.96,0.762,0.0,0.0,0.574
คราด,0.02,0.0,0.0,-0.004,0.005
การแสร้งทำ,-0.369,0.0,0.367,-0.273,-0.336
เซ้ง,-0.025,0.058,0.414,-0.389,-0.257
สายอากาศ,0.16,0.067,0.0,0.083,0.103
ภาวะวิกฤต,-0.99,0.0,0.691,-0.65,-0.777
ใบแจ้งหนี้,-0.03,0.249,-0.06,0.102,0.087
จราจล,-0.89,0.0,0.829,-0.92,-0.88
นักยุทธศาสตร์,0.711,0.0,0.0,0.0,0.237
โน้ตบุ๊ค,-0.02,0.094,0.0,0.097,0.057
ซึมซับ,0.869,-0.59,0.0,0.66,0.706
โรคสมอง,-0.94,0.0,0.868,-0.56,-0.789
สภาพ,0.326,0.125,0.005,0.265,0.237
ธำมรงค์,0.052,0.0,0.0,0.118,0.057
เสพติด,-0.84,0.0,-0.087,-0.4,-0.442
รับรู้,-0.05,0.171,-0.105,0.142,0.053
ปืนช็อตไฟฟ้า,-0.13,0.113,-0.16,0.0,-0.059
ผู้ประเมิน,-0.06,0.18,0.0,0.143,0.088
ห้างหุ้นส่วน,0.089,0.185,0.0,0.197,0.157
ชุบโครเมียม,0.02,0.085,-0.05,0.085,0.047
ความไม่เห็นด้วย,-0.52,0.0,0.561,-0.9,-0.66
กระต่ายป่า,0.0,0.099,-0.05,0.113,0.054
การคืนชีพ,0.665,-0.58,0.0,0.795,0.68
บันทึก,-0.04,-0.025,0.054,-0.07,-0.046
สาธุ,0.728,0.788,0.0,0.0,0.505
ตัวรอง,0.0,0.797,0.0,0.804,0.534
ขมวดคิ้ว,-0.18,0.0,-0.23,0.0,-0.137
การอธิบาย,-0.115,0.142,-0.08,0.136,0.028
อย่างยิ่ง,0.0,0.967,0.0,0.743,0.57
กราฟฟิก,0.501,-0.99,0.0,0.68,0.724
ความน่าเชื่อถือ,0.413,-0.179,0.0,0.85,0.481
คนฝรั่งเศส,-0.295,0.0,0.402,-0.42,-0.372
ศิลปะบาโรก,-0.54,0.0,0.7,-0.64,-0.627
กลอน,0.0,0.065,0.0,0.071,0.045
อย่างแปลกใจ,0.71,0.0,0.0,0.764,0.491
ราชธานี,0.074,0.072,0.0,0.065,0.07
เหตุผลนิยม,-0.99,0.0,0.835,-0.58,-0.802
ทรัมป์,0.697,-0.7,0.0,0.582,0.66
ไก่ชน,-0.9,0.0,0.569,-0.96,-0.81
ถูสบู่,0.078,-0.07,0.0,0.0,0.049
ปรับ,-0.402,0.096,-0.109,-0.072,-0.162
ร้อยโท,0.022,0.0,0.358,-0.411,-0.249
กราบเรือ,0.0,0.943,0.0,0.0,0.314
อิเล็กทรอนิกส์,0.101,0.099,0.0,0.169,0.123
สามล้อ,0.21,0.131,-0.05,0.084,0.125
อาจารย์,0.4,0.0,0.0,0.898,0.433
แดกแด้,-0.72,0.0,0.756,0.0,-0.492
กุญแจปากตาย,-0.058,0.0,0.254,-0.056,-0.123
ความเบิกบาน,0.711,0.719,-0.163,0.483,0.583
เหตุร้าย,0.0,0.0,0.746,-0.8,-0.515
กระดูกแขนท่อนใน,0.023,0.085,-0.04,0.088,0.052
สัตว์ป่า,-0.06,-0.05,-0.05,-0.02,-0.027
สามง่าม,0.7,-0.62,0.0,0.58,0.633
ใจเด็ด,0.484,-0.66,0.0,0.715,0.62
เที่ยว,0.779,-0.55,0.0,0.678,0.669
คนโกหก,-0.77,0.0,0.742,-0.8,-0.771
อ้างอิง,0.083,0.179,-0.13,0.256,0.129
มดลูก,0.158,0.067,-0.08,0.114,0.086
การเปรียบเทียบ,0.118,0.181,-0.07,0.374,0.201
แคนนอน,0.793,0.915,0.0,0.0,0.569
๑๐๐๐๐๐,0.0,0.0,0.063,-0.03,-0.031
น่าสงสาร,-0.64,0.157,-0.49,-0.06,-0.344
ฝนตกหนัก,0.394,-0.353,-0.03,0.078,0.265
กระแสเงินสด,0.0,0.298,-0.06,0.305,0.181
ประจบสอพลอ,0.316,-0.43,0.367,-0.015,0.121
คลินิก,-0.03,0.0,-0.15,-0.15,-0.11
ฟืน,0.053,-0.09,0.0,0.0,0.048
โดดร่ม,-0.9,0.0,0.749,-0.71,-0.786
ฟอสซิล,0.0,0.0,0.0,0.882,0.294
ลม,0.943,0.585,0.0,0.0,0.509
คี่,0.036,0.121,0.0,0.139,0.099
ตำแหน่ง,0.045,0.131,-0.005,0.171,0.114
วิชาเคมี,0.045,0.0,0.0,0.051,0.032
ขุดคลอง,0.933,0.795,0.0,0.0,0.576
นักกีฬาอาชีพ,0.806,-0.63,0.0,0.95,0.795
ข้อด้อย,-0.71,0.0,-0.93,0.0,-0.547
เกี่ยวข้าว,-0.83,0.0,0.749,0.0,-0.526
เหนือกว่า,0.219,-0.011,-0.192,0.444,0.161
อนุชน,0.426,0.493,-0.05,0.084,0.318
น้องใหม่,0.739,0.825,0.0,0.782,0.782
ธนบัตร,-0.025,0.198,-0.03,0.088,0.077
มาตร,0.472,0.731,0.0,0.366,0.523
ของดี,0.0,0.0,0.0,0.751,0.25
ที่จับ,0.0,0.072,0.0,0.117,0.063
จุก,0.394,0.34,-0.047,0.159,0.282
ช่างตัดเสื้อ,0.877,-0.76,0.0,0.996,0.878
ยกเว้น,-0.515,0.112,0.176,-0.358,-0.312
บริโภค,0.094,0.166,-0.05,0.164,0.125
คนขี้บ่น,-0.74,0.0,0.68,-0.58,-0.667
สลักเสลา,0.045,0.0,0.0,0.051,0.032
การเป็นทาส,-0.75,0.0,0.0,-0.89,-0.547
ระดับโลก,0.418,-0.017,0.0,0.79,0.408
ผู้กระทำความผิด,-0.85,0.0,-0.87,0.0,-0.573
แบ่งเซลล์,-0.12,-0.05,0.0,-0.13,-0.067
การลอย,0.676,0.63,-0.23,0.31,0.462
แบบอย่าง,0.364,-0.001,-0.09,0.285,0.187
บ้านช่อง,-0.05,0.116,-0.04,0.102,0.043
สายการบิน,0.0,-0.01,0.0,0.069,0.026
การแลกเปลี่ยน,-0.05,0.299,-0.1,0.252,0.134
น้ำย่อย,0.0,0.0,0.834,-0.8,-0.545
จ้า,0.833,0.995,0.0,0.0,0.609
คูเมือง,-0.587,0.0,0.013,-0.547,-0.382
วานิลลา,0.047,0.094,-0.06,0.132,0.071
กระบวนการแอเดียแบติก,-0.64,0.0,0.938,-0.52,-0.699
เข็มหมุด,-0.75,0.0,0.886,-0.72,-0.785
มุมบ่ายเบน,-0.63,0.0,0.663,-0.82,-0.704
อาเจียน,-0.08,0.0,-0.07,-0.18,-0.11
หลักสูตรเร่งรัด,0.0,0.94,0.0,0.903,0.614
คลุ้ม,-0.379,-0.015,-0.248,-0.185,-0.266
โหนกแก้ม,0.0,-0.02,0.033,-0.08,-0.031
ต่อ,0.434,0.564,-0.055,0.128,0.357
ร้านขนมเค้ก,0.0,-0.02,0.0,0.07,0.03
กวนประสาท,0.0,0.0,0.784,0.0,-0.261
การตัดสิน,-0.02,0.155,-0.033,-0.192,-0.03
มนุษย์กินคน,-0.73,0.0,0.734,-0.78,-0.748
มงคล,0.831,0.05,-0.065,0.641,0.486
โต๊ะอาหาร,0.0,-0.06,0.0,0.0,0.02
ตีความผิด,-0.82,0.0,-0.81,0.0,-0.543
สภาพแวดล้อม,0.252,0.301,-0.022,0.104,0.212
ลิสต์,0.113,0.126,0.0,0.11,0.116
ความถี่สัมพัทธ์,0.035,0.124,0.0,0.23,0.13
ชีวชาติ,0.0,0.0,0.073,0.0,-0.024
สายฝน,-0.48,0.0,0.167,-0.475,-0.374
ตอแหล,-0.465,0.0,-0.006,-0.87,-0.447
จุดศูนย์,-0.55,0.0,0.882,-0.73,-0.721
ต่อยมวย,0.0,-0.02,0.0,0.051,0.024
ตะคอก,-0.57,0.0,0.852,-0.74,-0.721
สารผสม,0.027,0.15,0.0,0.22,0.132
ผู้ควบคุมนักโทษ,-0.78,0.0,-0.96,0.0,-0.58
เพลงกล่อมเด็ก,0.845,0.789,0.0,0.806,0.813
คนใบ้,-0.94,0.0,0.0,0.0,-0.313
ประลอง,0.283,-0.323,0.021,0.183,0.256
ล้างสมอง,0.0,0.0,0.0,-0.94,-0.313
ถอนหญ้า,-0.98,0.0,-0.74,0.0,-0.573
อย่างสูงสุด,0.046,-0.66,0.0,0.365,0.357
สถานทูต,0.054,0.07,0.0,0.09,0.071
อาการหลงผิด,-0.5,0.0,0.641,-0.89,-0.677
ดอกจัน,0.953,-0.82,0.0,0.292,0.688
ดำรงชีวิต,0.877,0.949,0.0,0.0,0.609
มีชีวิตรอด,0.855,0.841,0.0,0.0,0.565
เบื้องต้น,0.234,0.379,0.159,-0.048,0.135
พุ่ง,0.221,-0.425,0.188,-0.102,0.119
แขนง,0.503,0.358,0.014,0.0,0.282
จนท.,0.954,0.996,0.0,0.781,0.91
ปลายทาง,-0.05,0.192,-0.11,0.16,0.064
กระตือรือร้น,0.481,0.659,-0.24,0.236,0.379
กฎข้อบังคับ,0.0,0.178,0.0,0.182,0.12
กล้า,0.377,0.0,0.0,0.889,0.422
การไกล่เกลี่ย,-0.79,0.0,-0.96,0.0,-0.583
การเลื่อนออกไป,-0.405,0.0,0.746,-0.795,-0.649
รักแร้,0.0,0.0,0.0,-0.06,-0.02
ลุยน้ำ,0.049,0.139,-0.09,0.123,0.074
แอบมอง,0.0,0.44,0.0,0.032,0.157
สดชื่น,0.04,-0.214,0.138,-0.032,0.028
กระดูกหน้าผาก,0.681,-0.63,0.0,0.647,0.653
รับศีล,0.714,0.965,0.0,0.0,0.56
หวด,-0.04,-0.108,0.275,-0.444,-0.217
การระบายสี,0.0,0.09,0.0,0.111,0.067
สตรีเพศ,0.67,-0.493,0.0,0.819,0.661
แรงขับ,0.825,0.0,0.0,0.703,0.509
จำเลย,0.817,0.831,0.0,0.0,0.549
พลิ้วไหว,0.0,0.0,0.865,-0.95,-0.605
มลทิน,-0.93,0.0,0.508,-0.84,-0.759
คำคุณศัพท์,0.0,0.115,-0.1,0.249,0.088
ขี้อาย,-0.98,0.0,-0.95,0.0,-0.643
ไฟถนน,0.723,0.851,0.0,0.0,0.525
กระพริบตา,-0.15,0.0,0.0,-0.1,-0.083
ขนมพาย,0.039,-0.09,0.0,0.0,0.043
ความแห้งแล้ง,-0.98,0.0,-0.79,0.0,-0.59
อย่างสม่ำเสมอ,0.0,0.093,0.0,0.053,0.049
กระดาน,0.819,0.791,0.0,0.0,0.537
แมลงสาบ,0.0,0.0,-0.92,-0.97,-0.63
นักวิทยาศาสตร์,-0.05,0.168,-0.04,0.263,0.114
ตะแกรง,0.013,0.025,0.286,-0.254,-0.167
สระ,0.014,0.023,-0.025,0.272,0.095
วณิพก,0.54,-0.64,0.0,0.566,0.582
ทำมือ,0.08,0.0,0.0,0.106,0.062
หมา,0.75,-0.88,0.0,0.989,0.873
พระคัมภีร์,0.0,0.187,0.0,0.211,0.133
แบบสอบถาม,0.0,0.112,0.0,0.156,0.089
พึ่งพา,0.223,-0.178,-0.017,0.383,0.256
ไต่เขา,0.0,0.069,0.0,0.0,0.023
กะโหลก,0.0,0.075,0.0,0.046,0.04
เหลือรับ,0.0,0.398,-0.37,0.02,0.016
สิบหก,0.0,0.0,0.063,-0.03,-0.031
ยืดออก,0.237,-0.41,0.012,0.38,0.338
บินเดี่ยว,0.899,0.726,0.0,0.0,0.542
วางขาย,0.057,0.383,-0.27,0.325,0.165
เกมส์,0.017,0.129,0.119,0.1,0.042
พระอาทิตย์,0.046,0.0,0.0,0.085,0.044
ร่วมมือ,0.651,0.271,0.0,0.364,0.429
ความกดอากาศต่ำ,-0.77,0.248,-0.45,0.0,-0.324
การปฏิรูป,-0.99,0.0,0.0,-0.79,-0.593
ทุก,-0.414,0.053,0.318,-0.424,-0.368
สถานที่ทำงาน,0.032,0.11,0.0,0.105,0.082
สามสิบ,0.0,0.0,0.063,-0.03,-0.031
ขัดมัน,0.0,0.0,0.0,0.1,0.033
สูญหาย,-0.887,0.0,0.849,-0.767,-0.834
ตั้งครรภ์,0.994,0.884,0.0,0.0,0.626
ยัดไส้,0.0,0.0,-0.9,-0.9,-0.6
แจว,0.153,0.0,0.0,0.149,0.101
ผู้หญิงหากิน,-0.88,0.0,0.606,-0.73,-0.739
คุมสอบ,0.585,-0.64,0.0,0.51,0.578
ปลากระบอก,0.856,-0.92,0.0,0.0,0.592
ย่อม,-0.279,0.16,0.185,-0.07,-0.125
ยัง,0.966,0.0,0.0,0.802,0.589
ผู้รับจ้าง,0.0,0.316,0.0,0.214,0.177
รูปหล่อ,0.466,-0.415,0.0,0.447,0.443
นั่งเครื่องบิน,0.0,-0.09,0.107,-0.1,-0.039
กระจอกข่าว,0.088,0.0,0.0,0.0,0.029
ไดนาโม,-0.05,-0.01,-0.05,-0.06,-0.05
คนขายเนื้อ,-0.77,0.0,0.503,-0.93,-0.734
ทำให้สิ้นสุด,-0.265,0.247,-0.001,0.031,0.004
ช่างตีเหล็ก,0.0,0.115,0.0,0.105,0.073
ขัดจังหวะ,-0.46,-0.02,0.434,-0.43,-0.435
มัจฉา,-0.04,0.184,-0.08,0.172,0.079
กิจกรรม,0.0,0.48,-0.03,0.504,0.318
โถปัสสาวะ,0.778,-0.93,0.0,0.578,0.762
ยาครอบจักรวาล,-0.75,0.0,-0.76,0.0,-0.503
อาชญากรรมสงคราม,-0.94,0.0,0.904,-0.94,-0.928
การจราจรคับคั่ง,-0.15,-0.13,0.0,-0.25,-0.09
กุญแจหลัก,0.943,-0.78,0.0,0.571,0.765
สาหร่าย,-0.655,0.0,0.519,-0.735,-0.636
จากภายนอก,-0.52,0.0,0.783,-0.97,-0.758
โหล่,-0.207,0.195,-0.182,0.118,-0.025
จิตรกรรมฝาผนัง,0.047,0.0,0.0,0.055,0.034
ผุพัง,-0.09,0.0,-0.16,-0.09,-0.113
ความคิดเห็น,0.0,0.352,-0.23,0.307,0.143
ฐานกรณ์,-0.67,0.0,0.97,-0.64,-0.76
๑๐๐๐,0.0,0.0,0.063,-0.03,-0.031
เมตร,0.944,0.741,0.0,0.0,0.562
เด็ก,0.013,0.034,0.0,0.47,0.172
จริยธรรม,-0.82,0.0,0.599,-0.72,-0.713
แบตเตอรี่,0.045,0.0,0.0,0.051,0.032
สาบสูญ,-0.617,0.0,0.241,-0.733,-0.53
มูลเหตุ,0.888,-0.79,0.0,0.0,0.559
ภูเขาไฟ,-0.405,-0.015,0.202,-0.515,-0.369
รีสตาร์ต,0.0,0.199,0.015,0.072,0.085
เป็น,0.127,0.069,0.029,0.16,0.109
ปะการัง,0.053,0.073,-0.06,0.104,0.057
ชาดำเย็น,0.076,-0.01,0.0,0.0,0.029
ประเทศพันธมิตร,0.716,-0.51,0.0,0.647,0.624
เส้นด้าย,-0.03,-0.04,0.079,-0.09,-0.053
นักสัตววิทยา,0.099,0.076,0.0,0.092,0.089
ส่วนผสม,-0.09,0.0,-0.045,-0.046,-0.06
พาไป,-0.24,0.0,-0.23,-0.16,-0.21
ขวดแก้ว,0.0,0.943,0.0,0.0,0.314
การแต่งกาย,-0.605,0.0,0.758,-0.86,-0.741
กวด,0.59,0.258,0.0,-0.023,0.275
หมาวัด,0.75,-0.88,0.0,0.989,0.873
เมื่อเร็วๆ,-0.49,0.036,0.0,-0.445,-0.3
รับประทานอาหารเย็น,0.135,0.065,0.0,0.082,0.094
ปล่อยไอน้ำ,0.07,-0.03,0.023,0.0,0.026
ยางสังเคราะห์,-0.88,0.0,0.75,-0.85,-0.827
พหุสังคม,-0.81,0.0,0.0,-0.84,-0.55
สกรู,0.0,-0.03,0.012,0.057,0.025
สวัสดีค่ะ,0.867,0.884,0.0,0.0,0.584
ความสนุกสนาน,0.918,0.476,-0.19,0.417,0.54
โด่,0.818,0.0,0.0,0.838,0.552
บรรพชน,-0.9,0.0,0.0,-0.9,-0.6
หมวกปีก,0.08,0.106,-0.04,0.112,0.086
พนักงานโทรศัพท์,0.0,0.352,-0.23,0.307,0.143
รูปสลัก,0.366,-0.227,0.0,0.304,0.299
การโหวต,0.0,0.23,-0.12,0.198,0.103
ถ่วง,-0.576,0.0,0.303,-0.898,-0.592
ชักชวน,-0.09,-0.03,0.0,-0.11,-0.057
ปลั่ง,0.592,0.201,-0.048,0.36,0.368
